feature,n,pearson_r,pearson_p,pearson_q,pearson_ci95_low,pearson_ci95_high,spearman_rho,spearman_p,spearman_q,spearman_ci95_low,spearman_ci95_high,kendall_tau,kendall_p,kendall_q,feature_type,gram_group,nt_number,is_ecoli,expected_correlation_with_pMIC,directional_pearson_r,directional_spearman_rho,direction_matches_expected,rank_by_directional_spearman,rank_by_abs_spearman
Clostridium perfringens (NT5032),104,0.011595413578554736,0.9069985787166582,0.9758147325104721,-0.19237081150914628,0.20679907096734462,0.034494715955450936,0.7281178682468246,0.8239228509108805,-0.16255792344559578,0.22066469010862014,0.028990974410725758,0.6632790805845303,0.750552643819337,strain_probability,positive,NT5032,False,positive,0.011595413578554736,0.034494715955450936,True,25,38
apscore_gpositive,104,0.0692721872365003,0.48471309379047073,0.7817181333020247,-0.10084083931532842,0.22765584949430295,0.02807697031759021,0.7772341987662894,0.8355267636737611,-0.1718997012963097,0.21729860007805102,0.028990974410725758,0.6632790805845303,0.750552643819337,aggregate_apscore,positive,,False,positive,0.0692721872365003,0.02807697031759021,True,26,40
Bacteroides xylanisolvens (NT5064),104,0.0004893442002638568,0.9960664159951911,0.9960664159951911,-0.1738249755991172,0.1749635367402864,0.01911453251908146,0.8472782324457677,0.8886088779309271,-0.1761381467885034,0.20703850520401468,0.02375389516233659,0.7212870359814358,0.7564717694439449,strain_probability,negative,NT5064,False,positive,0.0004893442002638568,0.01911453251908146,True,27,41
Veillonella parvula (NT5017),104,0.05006319152006069,0.6137748573859831,0.8514480305060002,-0.12352259834771033,0.2134374170839967,0.0026513878487255055,0.9786892812631216,0.9786892812631216,-0.20762409755607256,0.19127003416771748,0.0005611156337559824,0.9932763774889714,0.9932763774889714,strain_probability,negative,NT5017,False,positive,0.05006319152006069,0.0026513878487255055,True,28,43
Streptococcus salivarius (NT5038),104,-0.008665668146259659,0.930428000765799,0.9758147325104721,-0.19261769247057886,0.18822754600434466,-0.0069352197250365346,0.9442958041323601,0.966779037564083,-0.2081842732398957,0.1909564395616975,-0.007294503238827771,0.9127663918362524,0.9344989249752108,strain_probability,positive,NT5038,False,positive,-0.008665668146259659,-0.0069352197250365346,False,29,42
Ruminococcus bromii (NT5045),104,-0.001340331265023767,0.9892260523227442,0.9960664159951911,-0.15687538851557026,0.14440624441694588,-0.03187533681314868,0.7480446225679449,0.8247671479595291,-0.2150038395026773,0.18376865546657142,-0.025624280608189866,0.7003641634413644,0.7528914756994668,strain_probability,positive,NT5045,False,positive,-0.001340331265023767,-0.03187533681314868,False,30,39
Bacteroides fragilis (NT) (NT5003),104,-0.07403280037444634,0.4551298402865743,0.7817181333020247,-0.27152740659105745,0.10407930597954848,-0.04817310316698454,0.6272396851440841,0.7683209473403716,-0.23416140443751943,0.1352761787074007,-0.025624280608189866,0.7003641634413644,0.7528914756994668,strain_probability,negative,NT5003,False,positive,-0.07403280037444634,-0.04817310316698454,False,31,35
Odoribacter splanchnicus (NT5081),104,-0.009141353073205995,0.9266193315800848,0.9758147325104721,-0.1770145848163398,0.14506185248249112,-0.054505492254383274,0.5826350663749591,0.7368619957095072,-0.2365900518830544,0.11955693270597945,-0.03235766821326165,0.62700129732674,0.7489182162513839,strain_probability,negative,NT5081,False,positive,-0.009141353073205995,-0.054505492254383274,False,32,34
Collinsella aerofaciens (NT5073),104,-0.049722745052947416,0.6161908875732541,0.8514480305060002,-0.24726959644573554,0.15192026108619586,-0.06593260044748193,0.5060627918321474,0.701958066089753,-0.24526464344723864,0.11855554034953604,-0.046198520512575884,0.4877978188774722,0.6554783191166033,strain_probability,positive,NT5073,False,positive,-0.049722745052947416,-0.06593260044748193,False,33,31
Ruminococcus torques (NT5047),104,-0.08159656838202571,0.4102566574540764,0.7350431779385536,-0.2997608015603176,0.1515119478058108,-0.06798115765856964,0.4929090683353189,0.701958066089753,-0.2763409168644323,0.1370988303388416,-0.050313368493453095,0.44988125386273625,0.6448297972032553,strain_probability,positive,NT5047,False,positive,-0.08159656838202571,-0.06798115765856964,False,34,30
Ruminococcus gnavus (NT5046),104,-0.09021648491809306,0.36241628207152926,0.6980266749188124,-0.2728507390471957,0.11090583445545656,-0.07958964852140003,0.4219032940034415,0.6649070374137582,-0.28133984416552776,0.1160134707844952,-0.05704675609852488,0.39159083617212864,0.6013716412643404,strain_probability,positive,NT5046,False,positive,-0.09021648491809306,-0.07958964852140003,False,35,26
Bifidobacterium adolescentis (NT5022),104,-0.13999000228615946,0.1563780936574069,0.5805650934747494,-0.34342936016982833,0.05842119041560356,-0.09433499261370847,0.3408277941723129,0.6371997891047589,-0.277570006663801,0.10958079105796743,-0.05742083318769553,0.3884928114217515,0.6013716412643404,strain_probability,positive,NT5022,False,positive,-0.13999000228615946,-0.09433499261370847,False,36,23
Fusobacterium nucleatum (NT5025),104,-0.09835383968127259,0.32056160652879284,0.6980266749188124,-0.2903415272134786,0.06314999044846215,-0.11690646542650045,0.23725932555371398,0.48581671422903344,-0.30671184053501904,0.06914342029630437,-0.08585069196466531,0.1972877764038221,0.42416871926821753,strain_probability,negative,NT5025,False,positive,-0.09835383968127259,-0.11690646542650045,False,37,21
Bilophila wadsworthia (NT5036),104,-0.09006653530596398,0.36321788167364766,0.6980266749188124,-0.28886388580614836,0.0614404106908901,-0.126386377312185,0.20109125374336367,0.4323461955482319,-0.3128373945460936,0.061161368580106415,-0.07724691891374025,0.24600616802603237,0.5037269154818759,strain_probability,negative,NT5036,False,positive,-0.09006653530596398,-0.126386377312185,False,38,20
Coprococcus comes (NT5048),104,-0.12233676184619643,0.21602422082781372,0.5805650934747494,-0.3154249511864924,0.07889581454947375,-0.13579693700061918,0.1692862288143227,0.40440599105643754,-0.338683697248227,0.0694660405103875,-0.09482854210476102,0.15440365160011196,0.39055041287087144,strain_probability,positive,NT5048,False,positive,-0.12233676184619643,-0.13579693700061918,False,39,18
Clostridium saccharolyticum (NT5037),104,-0.14131609022994837,0.15245294109953111,0.5805650934747494,-0.31718723133357685,0.06237567501978126,-0.13644778069789187,0.1672326086795902,0.40440599105643754,-0.3230568287557169,0.05751402811061823,-0.09520261919393168,0.15278422497298763,0.39055041287087144,strain_probability,positive,NT5037,False,positive,-0.14131609022994837,-0.13644778069789187,False,40,17
Blautia obeum (NT5069),104,-0.12963616025900165,0.18965568145720232,0.5805650934747494,-0.3542417786736288,0.09663393448840744,-0.14458866169820395,0.14308293181373888,0.40440599105643754,-0.3363460615766566,0.09101652263908765,-0.0966989275506143,0.14643553953627117,0.39055041287087144,strain_probability,positive,NT5069,False,positive,-0.12963616025900165,-0.14458866169820395,False,41,15
