feature,n,mean,std,min,q25,median,q75,max,feature_type,gram_group,nt_number,is_ecoli,expected_correlation_with_pMIC
Bilophila wadsworthia (NT5036),104,0.017985927760421943,0.035048030882301635,0.0005990766221657395,0.0038469888968393207,0.00682512647472322,0.012895470950752497,0.2145705670118332,strain_probability,negative,NT5036,False,positive
Blautia obeum (NT5069),104,0.6571417086256238,0.17010221966363787,0.06441756337881088,0.5525625795125961,0.6462003886699677,0.734428808093071,0.9918497800827026,strain_probability,positive,NT5069,False,positive
Clostridium bolteae (NT5026),104,0.07612693594105971,0.06410240741478346,0.007187269162386656,0.03630226198583841,0.06029367260634899,0.09401620924472809,0.4267532229423523,strain_probability,positive,NT5026,False,positive
Clostridium difficile (NT5083),104,0.07249784965712863,0.12388718476781498,0.004442380275577307,0.032302060164511204,0.040751656517386436,0.05245645251125097,0.7022876143455505,strain_probability,positive,NT5083,False,positive
Clostridium perfringens (NT5032),104,0.36563303475626385,0.21504798054027324,0.030275899916887283,0.23350467905402184,0.31522785127162933,0.4296562224626541,0.9896739721298218,strain_probability,positive,NT5032,False,positive
Clostridium ramosum (NT5006),104,0.148494499305693,0.19685438244666184,0.0067498888820409775,0.07051416859030724,0.08516936376690865,0.13485514000058174,0.940001368522644,strain_probability,positive,NT5006,False,positive
Clostridium saccharolyticum (NT5037),104,0.3170597498985724,0.20373720334390738,0.025147100910544395,0.16352728754281998,0.2938363552093506,0.37263716012239456,0.9659640789031982,strain_probability,positive,NT5037,False,positive
Collinsella aerofaciens (NT5073),104,0.44208897367263067,0.2074184509334967,0.03270019590854645,0.27750227600336075,0.4123106002807617,0.5540552288293839,0.9805994033813477,strain_probability,positive,NT5073,False,positive
Coprococcus comes (NT5048),104,0.3407385137935097,0.20575118848017476,0.05121181905269623,0.17204506695270538,0.315739244222641,0.4421231672167778,0.9403281211853027,strain_probability,positive,NT5048,False,positive
Dorea formicigenerans (NT5076),104,0.21883945897794688,0.1990569280355883,0.0131198950111866,0.1195104792714119,0.168720580637455,0.2172953374683857,0.9522334337234497,strain_probability,positive,NT5076,False,positive
Eggerthella lenta (NT5024),104,0.25694709960729456,0.17853669415614956,0.014138655737042427,0.16199246793985367,0.21527330577373505,0.30011872947216034,0.9551478624343872,strain_probability,positive,NT5024,False,positive
Escherichia coli ED1a (NT5078),104,0.01845929001193816,0.0346793726841529,0.0013279711129143834,0.007692956132814288,0.010262195486575365,0.015774269122630358,0.22134441137313843,strain_probability,negative,NT5078,True,positive
Escherichia coli IAI1 (NT5077),104,0.022450105871450014,0.03777760931189602,0.0019137839553877711,0.0103303212672472,0.012856460642069578,0.019292575772851706,0.24180443584918976,strain_probability,negative,NT5077,True,positive
Eubacterium eligens (NT5075),104,0.4767591491377411,0.19347538399468966,0.027780426666140556,0.3475314825773239,0.45157477259635925,0.5821616053581238,0.9832988381385803,strain_probability,positive,NT5075,False,positive
Eubacterium rectale (NT5009),104,0.7097786078945949,0.1821365966231549,0.14010173082351685,0.6544815897941589,0.7335157096385956,0.8229330778121948,0.9983856678009033,strain_probability,positive,NT5009,False,positive
Fusobacterium nucleatum (NT5025),104,0.0711431128707213,0.10822583611090925,0.004359831567853689,0.020335374865680933,0.039038730785250664,0.058305006474256516,0.5746508836746216,strain_probability,negative,NT5025,False,positive
Lactobacillus paracasei (NT5042),104,0.2770072146354673,0.1689912373650304,0.02038237266242504,0.16718825325369835,0.22862499207258224,0.35929618030786514,0.9020581841468811,strain_probability,positive,NT5042,False,positive
Odoribacter splanchnicus (NT5081),104,0.22306686053231645,0.18792419740601765,0.013060221448540688,0.0966857522726059,0.19360394030809402,0.2667899429798126,0.9483606219291687,strain_probability,negative,NT5081,False,positive
Parabacteroides distasonis (NT5074),104,0.16515504183301416,0.14749527195651982,0.005986966658383608,0.07610515877604485,0.13542268425226212,0.1876748651266098,0.7666588425636292,strain_probability,negative,NT5074,False,positive
Parabacteroides merdae (NT5071),104,0.2768633152322414,0.18101601907067844,0.013744518160820007,0.16122841462492943,0.23908811062574387,0.34287286549806595,0.9412606358528137,strain_probability,negative,NT5071,False,positive
Prevotella copri (NT5019),104,0.2383015594051148,0.16028637955717706,0.016055837273597717,0.1328611709177494,0.20971514284610748,0.2929054796695709,0.8705669641494751,strain_probability,negative,NT5019,False,positive
Roseburia hominis (NT5079),104,0.4486374774804482,0.18760545206932322,0.0442538857460022,0.31874780356884,0.42664219439029694,0.5439530611038208,0.987605094909668,strain_probability,positive,NT5079,False,positive
Roseburia intestinalis (NT5011),104,0.5050457399338484,0.21016564845041044,0.056030724197626114,0.3418053984642029,0.5097969472408295,0.6346239298582077,0.9890180826187134,strain_probability,positive,NT5011,False,positive
Ruminococcus bromii (NT5045),104,0.17390689362610617,0.17321279849278928,0.007646608632057905,0.07391628995537758,0.138394296169281,0.1956879384815693,0.8846361041069031,strain_probability,positive,NT5045,False,positive
Ruminococcus gnavus (NT5046),104,0.2861511280151227,0.20266041763345768,0.018539387732744217,0.1397223100066185,0.25012432783842087,0.32589422911405563,0.9578452110290527,strain_probability,positive,NT5046,False,positive
Ruminococcus torques (NT5047),104,0.26768592399401736,0.19499774861109412,0.017677081748843193,0.12645115703344345,0.2384853959083557,0.3016350343823433,0.8922681212425232,strain_probability,positive,NT5047,False,positive
Streptococcus parasanguinis (NT5072),104,0.2977675311625577,0.19295149357182775,0.029101479798555374,0.17851479351520538,0.26072095334529877,0.36432746052742004,0.9748104810714722,strain_probability,positive,NT5072,False,positive
Streptococcus salivarius (NT5038),104,0.5017095516937283,0.18843617401369273,0.08070976287126541,0.3659729063510895,0.5037939846515656,0.5957831740379333,0.9933149218559265,strain_probability,positive,NT5038,False,positive
Veillonella parvula (NT5017),104,0.16616562019603756,0.16318301885676903,0.004959557205438614,0.06460055895149708,0.09553477540612221,0.2213989719748497,0.7661460041999817,strain_probability,negative,NT5017,False,positive
apscore_total,104,-1.8091083673792328,0.6150687201390241,-4.18906702076299,-2.12036347495441,-1.7586765362119703,-1.502142961470509,-0.24460484427268003,aggregate_apscore,all,,False,positive
apscore_gnegative,104,-2.3049335932615405,0.6883392787294014,-4.7920357055368985,-2.67240384238504,-2.301359613789947,-1.985205543125073,-0.4244430160759503,aggregate_apscore,negative,,False,positive
apscore_gpositive,104,-1.4034331825664355,0.5595967409891465,-3.6957290059479777,-1.6858758549150477,-1.3340150154167256,-1.0952273099868237,-0.09746452188818623,aggregate_apscore,positive,,False,positive
